parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
mutpb,0.25,21,0.0596020790,0.0695000000,0.0304054054,0.0096153846,24145
mutpb,0.25,22,0.0596020790,0.0695000000,0.0304054054,0.0096153846,25244
mutpb,0.25,23,0.0596020790,0.0695000000,0.0304054054,0.0096153846,26380
mutpb,0.25,24,0.0596020790,0.0695000000,0.0304054054,0.0096153846,27414
mutpb,0.25,25,0.0596020790,0.0695000000,0.0304054054,0.0096153846,28474
mutpb,0.25,26,0.0596020790,0.0695000000,0.0304054054,0.0096153846,29298
mutpb,0.25,27,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30081
mutpb,0.25,28,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30847
mutpb,0.25,29,0.0596020790,0.0695000000,0.0304054054,0.0096153846,31612
mutpb,0.25,30,0.0596020790,0.0695000000,0.0304054054,0.0096153846,32420
mutpb,0.25,31,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33205
mutpb,0.25,32,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33931
mutpb,0.25,33,0.0592642412,0.0695000000,0.0270270270,0.0096153846,34487
mutpb,0.25,34,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35067
mutpb,0.25,35,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35711
mutpb,0.25,36,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36327
mutpb,0.25,37,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36883
mutpb,0.25,38,0.0591399168,0.0685000000,0.0337837838,0.0096153846,37551
mutpb,0.25,39,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38163
mutpb,0.25,40,0.0591399168,0.0685000000,0.0337837838,0.0096153846,38799
mutpb,0.25,41,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39270
mutpb,0.25,42,0.0591399168,0.0685000000,0.0337837838,0.0096153846,39729
mutpb,0.25,43,0.0591399168,0.0685000000,0.0337837838,0.0096153846,40031
mutpb,0.25,44,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40329
mutpb,0.25,45,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40669
mutpb,0.25,46,0.0588020790,0.0685000000,0.0304054054,0.0096153846,40985
mutpb,0.25,47,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41279
mutpb,0.25,48,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41581
mutpb,0.25,49,0.0588020790,0.0685000000,0.0304054054,0.0096153846,41925
mutpb,0.25,50,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42251
mutpb,0.25,51,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42547
mutpb,0.25,52,0.0588020790,0.0685000000,0.0304054054,0.0096153846,42855
mutpb,0.25,53,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43157
mutpb,0.25,54,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43473
mutpb,0.25,55,0.0588020790,0.0685000000,0.0304054054,0.0096153846,43797
mutpb,0.25,56,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44117
mutpb,0.25,57,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44279
mutpb,0.25,58,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44425
mutpb,0.25,59,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44595
mutpb,0.25,60,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44728
mutpb,0.25,61,0.0588020790,0.0685000000,0.0304054054,0.0096153846,44881
mutpb,0.25,62,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45032
mutpb,0.25,63,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45188
mutpb,0.25,64,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45339
mutpb,0.25,65,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45486
mutpb,0.25,66,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45639
mutpb,0.25,67,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45792
mutpb,0.25,68,0.0588020790,0.0685000000,0.0304054054,0.0096153846,45939
mutpb,0.25,69,0.0588020790,0.0685000000,0.0304054054,0.0096153846,46088
indpb,0.1,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
indpb,0.1,1,0.0733182952,0.0820000000,0.0675675676,0.0096153846,2640
indpb,0.1,2,0.0724561331,0.0805000000,0.0709459459,0.0096153846,3596
indpb,0.1,3,0.0670426195,0.0750000000,0.0608108108,0.0096153846,4687
indpb,0.1,4,0.0636291060,0.0720000000,0.0506756757,0.0096153846,5876
indpb,0.1,5,0.0629534304,0.0720000000,0.0439189189,0.0096153846,6880
indpb,0.1,6,0.0629534304,0.0720000000,0.0439189189,0.0096153846,7977
indpb,0.1,7,0.0618777547,0.0715000000,0.0371621622,0.0096153846,9047
indpb,0.1,8,0.0615399168,0.0715000000,0.0337837838,0.0096153846,10093
indpb,0.1,9,0.0614777547,0.0710000000,0.0371621622,0.0096153846,11190
indpb,0.1,10,0.0614777547,0.0710000000,0.0371621622,0.0096153846,12244
indpb,0.1,11,0.0614777547,0.0710000000,0.0371621622,0.0096153846,13317
indpb,0.1,12,0.0611399168,0.0710000000,0.0337837838,0.0096153846,14396
indpb,0.1,13,0.0611399168,0.0710000000,0.0337837838,0.0096153846,15472
indpb,0.1,14,0.0610777547,0.0705000000,0.0371621622,0.0096153846,16531
indpb,0.1,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,17573
indpb,0.1,16,0.0602777547,0.0695000000,0.0371621622,0.0096153846,18689
indpb,0.1,17,0.0599399168,0.0695000000,0.0337837838,0.0096153846,19807
indpb,0.1,18,0.0599399168,0.0695000000,0.0337837838,0.0096153846,20939
indpb,0.1,19,0.0599399168,0.0695000000,0.0337837838,0.0096153846,22066
indpb,0.1,20,0.0599399168,0.0695000000,0.0337837838,0.0096153846,23113
indpb,0.1,21,0.0596020790,0.0695000000,0.0304054054,0.0096153846,24145
indpb,0.1,22,0.0596020790,0.0695000000,0.0304054054,0.0096153846,25244
indpb,0.1,23,0.0596020790,0.0695000000,0.0304054054,0.0096153846,26380
indpb,0.1,24,0.0596020790,0.0695000000,0.0304054054,0.0096153846,27414
indpb,0.1,25,0.0596020790,0.0695000000,0.0304054054,0.0096153846,28474
indpb,0.1,26,0.0596020790,0.0695000000,0.0304054054,0.0096153846,29298
indpb,0.1,27,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30081
indpb,0.1,28,0.0596020790,0.0695000000,0.0304054054,0.0096153846,30847
indpb,0.1,29,0.0596020790,0.0695000000,0.0304054054,0.0096153846,31612
indpb,0.1,30,0.0596020790,0.0695000000,0.0304054054,0.0096153846,32420
indpb,0.1,31,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33205
indpb,0.1,32,0.0592642412,0.0695000000,0.0270270270,0.0096153846,33931
indpb,0.1,33,0.0592642412,0.0695000000,0.0270270270,0.0096153846,34487
indpb,0.1,34,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35067
indpb,0.1,35,0.0592642412,0.0695000000,0.0270270270,0.0096153846,35711
indpb,0.1,36,0.0591399168,0.0685000000,0.0337837838,0.0096153846,36327
