hyperparameter,hyperparameter_value,interval_id,lithotype,depth_start,depth_end,sample_count,local_score,evals,elapsed_sec,generations_ran,seed
mutpb,0.7,0,2,2920,2935,76,0.2,7179,0.993458,36,30905068
mutpb,0.7,1,1,2935.2,2947,60,0,5993,0.794903,30,31009797
mutpb,0.7,2,2,2947.2,2961.2,71,0.02,7761,1.18059,39,31114526
mutpb,0.7,3,1,2961.4,2963.4,11,0,5079,0.632328,25,31219255
mutpb,0.7,4,2,2963.6,2970.2,34,0.04058823529,6462,0.84556,32,31323984
mutpb,0.7,5,1,2970.4,2976.8,33,0.00303030303,5066,0.641308,25,31428713
mutpb,0.7,6,2,2977,2999.8,115,0.03843478261,12088,1.89655,61,31533442
mutpb,0.75,0,2,2920,2935,76,0.1936842105,17480,2.43324,87,31638171
mutpb,0.75,1,1,2935.2,2947,60,0,6131,0.808983,30,31742900
mutpb,0.75,2,2,2947.2,2961.2,71,0.01633802817,7519,1.01896,37,31847629
mutpb,0.75,3,1,2961.4,2963.4,11,0,5182,0.657108,25,31952358
mutpb,0.75,4,2,2963.6,2970.2,34,0.03764705882,7933,1.02265,39,32057087
mutpb,0.75,5,1,2970.4,2976.8,33,0.00303030303,5150,0.673156,25,32161816
mutpb,0.75,6,2,2977,2999.8,115,0.03930434783,8104,1.20243,40,32266545
mutpb,0.8,0,2,2920,2935,76,0.195,9114,1.31588,44,32371274
mutpb,0.8,1,1,2935.2,2947,60,0,6900,0.918756,33,32476003
mutpb,0.8,2,2,2947.2,2961.2,71,0.01408450704,12766,1.75586,62,32580732
mutpb,0.8,3,1,2961.4,2963.4,11,0,5279,0.647669,25,32685461
mutpb,0.8,4,2,2963.6,2970.2,34,0.03764705882,8313,1.08536,40,32790190
mutpb,0.8,5,1,2970.4,2976.8,33,0.00303030303,5465,0.732303,26,32894919
mutpb,0.8,6,2,2977,2999.8,115,0.03930434783,8697,1.29065,42,32999648
mutpb,0.85,0,2,2920,2935,76,0.1865789474,11779,1.64474,56,33104377
mutpb,0.85,1,1,2935.2,2947,60,0,6632,0.898988,31,33209106
mutpb,0.85,2,2,2947.2,2961.2,71,0.02,7047,0.981911,33,33313835
mutpb,0.85,3,1,2961.4,2963.4,11,0,5372,0.693437,25,33418564
mutpb,0.85,4,2,2963.6,2970.2,34,0.03764705882,8711,1.19233,41,33523293
mutpb,0.85,5,1,2970.4,2976.8,33,0.00303030303,5396,0.701795,25,33628022
mutpb,0.85,6,2,2977,2999.8,115,0.04017391304,11973,1.86164,57,33732751
mutpb,0.9,0,2,2920,2935,76,0.2034210526,7611,1.0317,35,33837480
mutpb,0.9,1,1,2935.2,2947,60,0,6539,0.858254,30,33942209
mutpb,0.9,2,2,2947.2,2961.2,71,0.02,8667,1.27649,40,34046938
mutpb,0.9,3,1,2961.4,2963.4,11,0,5519,0.68149,25,34151667
mutpb,0.9,4,2,2963.6,2970.2,34,0.03764705882,7182,0.920841,33,34256396
mutpb,0.9,5,1,2970.4,2976.8,33,0.00303030303,5701,0.761836,26,34361125
mutpb,0.9,6,2,2977,2999.8,115,0.04017391304,16703,2.52302,78,34465854
mutpb,0.95,0,2,2920,2935,76,0.1936842105,15546,2.10474,71,34570583
mutpb,0.95,1,1,2935.2,2947,60,0,6465,0.854701,29,34675312
mutpb,0.95,2,2,2947.2,2961.2,71,0.02084507042,7127,0.951576,32,34780041
mutpb,0.95,3,1,2961.4,2963.4,11,0,5610,0.68734,25,34884770
mutpb,0.95,4,2,2963.6,2970.2,34,0.03764705882,7128,0.911699,32,34989499
mutpb,0.95,5,1,2970.4,2976.8,33,0.00303030303,5614,0.709843,25,35094228
mutpb,0.95,6,2,2977,2999.8,115,0.03930434783,11876,1.80583,54,35198957
mutpb,1,0,2,2920,2935,76,0.1865789474,11440,1.61598,51,35303686
mutpb,1,1,1,2935.2,2947,60,0,7040,0.942794,31,35408415
mutpb,1,2,2,2947.2,2961.2,71,0.02,12980,1.75349,58,35513144
mutpb,1,3,1,2961.4,2963.4,11,0,5940,0.778164,26,35617873
mutpb,1,4,2,2963.6,2970.2,34,0.03764705882,8800,1.15568,39,35722602
mutpb,1,5,1,2970.4,2976.8,33,0.00303030303,5720,0.747703,25,35827331
mutpb,1,6,2,2977,2999.8,115,0.03930434783,9460,1.40561,42,35932060
