depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1715.9500,2,0.198594,0.285357,0.074023,0.244147,0.197879,0.603339,0.767347,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1716.1500,2,0.173899,0.253304,0.082001,0.265645,0.225152,0.551337,0.764126,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1716.3500,2,0.099205,0.226864,0.089516,0.321263,0.263152,0.442520,0.782083,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1716.5500,2,0.174377,0.142439,0.093266,0.343978,0.245939,0.420147,0.786695,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1716.7500,2,0.370618,0.070646,0.102141,0.291989,0.164606,0.528210,0.740845,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1716.9500,2,0.386718,0.188330,0.112301,0.192590,0.120061,0.653509,0.631670,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1717.1500,2,0.218140,0.316062,0.097099,0.169487,0.199212,0.667095,0.635767,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1717.3500,2,0.025015,0.404476,0.068524,0.155561,0.346424,0.657140,0.694206,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1717.5500,2,0.050585,0.375873,0.063866,0.144161,0.365515,0.672133,0.692994,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1717.7500,2,0.310035,0.237698,0.067926,0.159554,0.224788,0.706558,0.701398,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1717.9500,2,0.451913,0.180494,0.063903,0.191508,0.112182,0.712317,0.749804,пористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1718.1500,2,0.319227,0.272434,0.059864,0.209384,0.139091,0.687251,0.777663,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1718.3500,2,0.229789,0.331009,0.059236,0.206451,0.173515,0.678534,0.777045,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1718.5500,2,0.221948,0.335184,0.058656,0.199908,0.184303,0.683014,0.773148,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1718.7500,2,0.188735,0.355959,0.060942,0.208121,0.186242,0.669357,0.773504,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1718.9500,2,0.190757,0.363566,0.062180,0.208163,0.175333,0.672178,0.769995,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1719.1500,2,0.194813,0.318494,0.079572,0.223120,0.184000,0.629054,0.737118,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1719.3500,2,0.173654,0.248929,0.111048,0.256066,0.210303,0.535121,0.697512,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1719.5500,2,0.220433,0.198566,0.124120,0.265972,0.190909,0.517863,0.681818,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1719.7500,2,0.342688,0.120288,0.122799,0.272529,0.141697,0.539408,0.689374,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1719.9500,2,0.309588,0.122074,0.107971,0.292548,0.167818,0.518712,0.730422,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1720.1500,2,0.242303,0.215399,0.093642,0.247868,0.200788,0.572691,0.725800,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1720.3500,2,0.269399,0.303675,0.078276,0.145680,0.202970,0.719012,0.650484,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1720.5500,2,0.257673,0.329844,0.074390,0.091184,0.246909,0.780141,0.550713,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1720.7500,2,0.257932,0.309761,0.063672,0.096574,0.272061,0.779863,0.602660,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1720.9500,2,0.366132,0.240606,0.044736,0.156587,0.191939,0.750858,0.777791,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1721.1500,2,0.439135,0.183329,0.053629,0.212695,0.111212,0.700351,0.798631,пористый,seal_kaolinite_clay,каолинитовая тяжелая глина
1721.3500,2,0.358989,0.188736,0.077810,0.261436,0.113030,0.617523,0.770638,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1721.5500,2,0.154549,0.315486,0.079834,0.283100,0.167030,0.564288,0.780032,пористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1721.7500,2,0.109258,0.323113,0.085497,0.339587,0.142545,0.504249,0.798871,пористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1721.9500,2,0.174737,0.229824,0.099380,0.421331,0.074727,0.437234,0.809146,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1722.1500,2,0.030568,0.286305,0.092340,0.444606,0.146182,0.371124,0.828028,пористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1722.3500,2,0.000000,0.297107,0.072485,0.405293,0.225116,0.383421,0.848288,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1722.5500,2,0.000000,0.253789,0.074775,0.412842,0.258594,0.342308,0.846652,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1722.7500,2,0.068054,0.224832,0.075851,0.387141,0.244121,0.387478,0.836173,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1722.9500,2,0.171466,0.197146,0.078440,0.344525,0.208424,0.465668,0.814548,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1723.1500,2,0.260196,0.189894,0.068703,0.295571,0.185636,0.552689,0.811398,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1723.3500,2,0.258767,0.262351,0.045928,0.229439,0.203515,0.654272,0.833210,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1723.5500,2,0.203920,0.301507,0.040687,0.199825,0.254061,0.677571,0.830831,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1723.7500,2,0.101052,0.360841,0.027914,0.166193,0.344000,0.704105,0.856195,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1723.9500,2,0.000000,0.437339,0.006799,0.136560,0.419303,0.753127,0.952577,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1724.1500,2,0.025061,0.431286,0.005292,0.146846,0.391515,0.749972,0.965218,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1724.3500,2,0.241554,0.320190,0.014391,0.181199,0.242667,0.741739,0.926423,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1724.5500,2,0.261765,0.345681,0.010441,0.203932,0.178182,0.739148,0.951295,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1724.7500,2,0.131766,0.353431,0.035980,0.266824,0.212000,0.615732,0.881178,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1724.9500,2,0.087410,0.223194,0.088312,0.358841,0.242242,0.409900,0.802501,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1725.1500,2,0.062497,0.212633,0.102236,0.367665,0.254970,0.369287,0.782431,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1725.3500,2,0.016424,0.274558,0.101301,0.340626,0.267091,0.397024,0.770774,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1725.5500,2,0.000000,0.314429,0.093817,0.316916,0.274837,0.433598,0.771586,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1725.7500,2,0.000000,0.300093,0.096707,0.323657,0.279543,0.416532,0.769945,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1725.9500,2,0.024696,0.224639,0.116097,0.364932,0.269636,0.341384,0.758649,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1726.1500,2,0.042184,0.225073,0.107217,0.362738,0.262788,0.362524,0.771857,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1726.3500,2,0.024147,0.282575,0.080828,0.338571,0.273879,0.422412,0.807277,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1726.5500,2,0.078493,0.261771,0.077004,0.349581,0.233152,0.443717,0.819488,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1726.7500,2,0.229400,0.201093,0.080120,0.373629,0.115758,0.486850,0.823426,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1726.9500,2,0.279154,0.247695,0.073956,0.363619,0.035576,0.546284,0.830987,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1727.1500,2,0.242365,0.219755,0.081437,0.438686,0.017758,0.470474,0.843428,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1727.3500,2,0.194830,0.102991,0.099207,0.567820,0.035152,0.308672,0.851270,плотный,seal_silty_argillite,песчанистая легкая глина
1727.5500,2,0.150773,0.084109,0.101973,0.608357,0.054788,0.248496,0.856443,плотный,seal_silty_argillite,песчанистая легкая глина
1727.7500,2,0.179650,0.083200,0.107251,0.585232,0.044667,0.275140,0.845121,плотный,seal_silty_argillite,песчанистая легкая глина
1727.9500,2,0.156768,0.140642,0.111840,0.536932,0.053818,0.314327,0.827613,плотный,seal_silty_argillite,песчанистая легкая глина
1728.1500,2,0.129925,0.184480,0.124445,0.504786,0.056364,0.333184,0.802226,плотный,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1728.3500,2,0.084721,0.240518,0.144969,0.462277,0.067515,0.348787,0.761268,плотный,seal_hydromica_argillite,гидрослюдистая легкая глина
1728.5500,2,0.073388,0.251820,0.152401,0.435300,0.087091,0.356233,0.740682,пористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1728.7500,2,0.145047,0.193973,0.139991,0.423595,0.097394,0.375601,0.751607,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1728.9500,2,0.259136,0.104193,0.110191,0.431207,0.095273,0.401589,0.796470,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1729.1500,2,0.271667,0.079819,0.120012,0.395290,0.133212,0.405505,0.767104,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1729.3500,2,0.255598,0.074233,0.156860,0.349794,0.163515,0.394306,0.690400,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1729.5500,2,0.307959,0.023806,0.172358,0.342968,0.152909,0.391652,0.665537,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1729.7500,2,0.280750,0.077917,0.160372,0.289749,0.191212,0.443463,0.643713,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1729.9500,2,0.124893,0.242065,0.133029,0.193831,0.306182,0.528896,0.593009,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1730.1500,2,0.158325,0.254813,0.120304,0.163164,0.303394,0.593073,0.575601,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1730.3500,2,0.343225,0.188952,0.112055,0.157525,0.198242,0.663764,0.584333,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1730.5500,2,0.368587,0.156770,0.106742,0.181659,0.186242,0.645594,0.629884,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
