depth,lithotype_code,kaolinite,hydromica,feldspar,quartz,porosity,clay_share_solid,q_over_qf,porosity_tag,class_key,class_name
1782.8100,2,0.242160,0.223539,0.149059,0.210636,0.174606,0.564214,0.585597,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1783.0100,2,0.243972,0.355309,0.136014,0.098463,0.166242,0.718771,0.419926,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1783.2100,2,0.223720,0.471876,0.119321,0.006841,0.178242,0.846473,0.054221,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1783.4100,2,0.251090,0.474614,0.095327,0.013696,0.165273,0.869390,0.125626,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1783.6100,2,0.294998,0.409529,0.086317,0.063034,0.146121,0.825091,0.422051,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1783.8100,2,0.293131,0.321269,0.073972,0.129385,0.182242,0.751323,0.636246,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1784.0100,2,0.099322,0.333092,0.049647,0.162061,0.355879,0.671323,0.765491,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1784.2100,2,0.000000,0.341175,0.028742,0.126455,0.503629,0.687338,0.814805,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1784.4100,2,0.000000,0.288804,0.021774,0.141643,0.547779,0.638634,0.866759,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1784.6100,2,0.030476,0.216746,0.033181,0.217051,0.502545,0.496974,0.867398,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1784.8100,2,0.214843,0.090391,0.063547,0.257158,0.374061,0.487641,0.801852,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1785.0100,2,0.295870,0.068917,0.099236,0.261674,0.274303,0.502672,0.725039,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1785.2100,2,0.326763,0.121510,0.123340,0.243418,0.184970,0.550007,0.663702,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1785.4100,2,0.300582,0.198019,0.116839,0.224318,0.160242,0.593744,0.657521,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1785.6100,2,0.286240,0.271815,0.104878,0.179006,0.158061,0.662821,0.630559,пористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1785.8100,2,0.255447,0.336753,0.101011,0.133941,0.172848,0.715951,0.570079,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1786.0100,2,0.188547,0.364472,0.091989,0.156265,0.198727,0.690175,0.629454,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1786.2100,2,0.167331,0.350285,0.095811,0.181664,0.204909,0.651015,0.654704,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1786.4100,2,0.186183,0.312662,0.089416,0.208951,0.202788,0.625737,0.700314,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1786.6100,2,0.159741,0.296558,0.077872,0.234617,0.231212,0.593530,0.750802,высокопористый,seal_mixed_argillite,каолинит-гидрослюдистая легкая глина
1786.8100,2,0.119278,0.308921,0.088476,0.226719,0.256606,0.576006,0.719297,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1787.0100,2,0.109489,0.329436,0.109295,0.208993,0.242788,0.579658,0.656617,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1787.2100,2,0.091173,0.345246,0.135342,0.188179,0.240061,0.574281,0.581659,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1787.4100,2,0.130693,0.342584,0.149307,0.154204,0.223212,0.609274,0.508066,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1787.6100,2,0.212894,0.358267,0.137700,0.110897,0.180242,0.696744,0.446091,высокопористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1787.8100,2,0.257791,0.360818,0.109068,0.110989,0.161333,0.737611,0.504364,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1788.0100,2,0.259776,0.369753,0.078656,0.127936,0.163879,0.752916,0.619270,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1788.2100,2,0.209404,0.443930,0.067304,0.110211,0.169152,0.786346,0.620854,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1788.4100,2,0.030940,0.565129,0.062183,0.067627,0.274121,0.821169,0.520969,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1788.6100,2,0.000000,0.542990,0.045589,0.021510,0.389911,0.890018,0.320577,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1788.8100,2,0.003300,0.456867,0.038614,0.028492,0.472727,0.872730,0.424585,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1789.0100,2,0.028981,0.353389,0.033236,0.085848,0.498545,0.762523,0.720901,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1789.2100,2,0.008627,0.293301,0.032530,0.154270,0.511273,0.617783,0.825857,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1789.4100,2,0.000000,0.256628,0.035662,0.200613,0.507098,0.520646,0.849067,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1789.6100,2,0.000000,0.243162,0.037551,0.211734,0.507552,0.493782,0.849364,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1789.8100,2,0.000000,0.216858,0.027122,0.207333,0.548688,0.480506,0.884320,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1790.0100,2,0.000000,0.192013,0.016451,0.216411,0.575125,0.451929,0.929351,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1790.2100,2,0.000000,0.154218,0.010985,0.236238,0.598558,0.384161,0.955567,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1790.4100,2,0.000000,0.132698,0.005026,0.255037,0.607239,0.337859,0.980672,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1790.6100,2,0.000000,0.139498,0.006501,0.265244,0.588758,0.339210,0.976078,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1790.8100,2,0.000000,0.145333,0.010793,0.260200,0.583674,0.349084,0.960172,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1791.0100,2,0.000000,0.113213,0.009312,0.280313,0.597162,0.281038,0.967846,высокопористый,seal_silty_argillite,песчанистая легкая глина
1791.2100,2,0.093598,0.051223,0.009168,0.319041,0.526970,0.306156,0.972066,высокопористый,seal_silty_argillite,песчанистая легкая глина
1791.4100,2,0.248833,0.052257,0.011808,0.305890,0.381212,0.486581,0.962832,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1791.6100,2,0.348062,0.126632,0.014833,0.251988,0.258485,0.640167,0.944407,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1791.8100,2,0.353447,0.270100,0.032642,0.168721,0.175091,0.755897,0.837893,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1792.0100,2,0.281237,0.429960,0.050069,0.090127,0.148606,0.835333,0.642862,пористый,seal_mixed_clay,каолинит-гидрослюдистая тяжелая глина
1792.2100,2,0.212285,0.467949,0.071091,0.090191,0.158485,0.808344,0.559214,пористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1792.4100,2,0.093860,0.452875,0.096199,0.143854,0.213212,0.694895,0.599260,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1792.6100,2,0.025295,0.352727,0.123074,0.246601,0.252303,0.505582,0.667075,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1792.8100,2,0.100511,0.147703,0.148756,0.357031,0.246000,0.329195,0.705892,высокопористый,seal_silty_argillite,песчанистая легкая глина
1793.0100,2,0.129994,0.076589,0.162989,0.376428,0.254000,0.276921,0.697842,высокопористый,seal_silty_argillite,песчанистая легкая глина
1793.2100,2,0.218805,0.034425,0.173520,0.352644,0.220606,0.324906,0.670217,высокопористый,seal_silty_argillite,песчанистая легкая глина
1793.4100,2,0.347365,0.000287,0.158497,0.317002,0.176848,0.422344,0.666672,пористый,seal_kaolinite_argillite,каолинитовая легкая глина
1793.6100,2,0.381586,0.024540,0.140059,0.272664,0.181152,0.495972,0.660647,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1793.8100,2,0.399997,0.000000,0.124286,0.273543,0.202174,0.501359,0.687590,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1794.0100,2,0.411998,0.000000,0.099272,0.278986,0.209745,0.521348,0.737555,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1794.2100,2,0.375284,0.000000,0.096123,0.285066,0.243527,0.496097,0.747834,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1794.4100,2,0.320564,0.000000,0.092153,0.308498,0.278785,0.444478,0.769991,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1794.6100,2,0.252459,0.127186,0.066048,0.259216,0.295091,0.538573,0.796939,высокопористый,seal_kaolinite_argillite,каолинитовая легкая глина
1794.8100,2,0.043146,0.331914,0.046268,0.147764,0.430909,0.659051,0.761546,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1795.0100,2,0.000000,0.349433,0.030847,0.100449,0.519271,0.726881,0.765058,высокопористый,seal_hydromica_clay,гидрослюдистая тяжелая глина
1795.2100,2,0.000000,0.241332,0.018725,0.157126,0.582817,0.578480,0.893518,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1795.4100,2,0.062380,0.120682,0.005689,0.214885,0.596364,0.453533,0.974209,высокопористый,seal_hydromica_argillite,гидрослюдистая легкая глина
1795.6100,1,0.094532,0.022354,0.009575,0.355365,0.518175,0.242590,0.973764,высокопористый,sand_quartz_wacke,высокопористый кварцевый песчаник
1795.8100,1,0.145817,0.033166,0.012137,0.404302,0.404578,0.300599,0.970855,высокопористый,sand_quartz_wacke,высокопористый кварцевый песчаник
1796.0100,1,0.179502,0.034498,0.031839,0.419155,0.335006,0.321807,0.929403,высокопористый,sand_quartz_wacke,высокопористый кварцевый песчаник
1796.2100,1,0.188120,0.025914,0.053442,0.438722,0.293802,0.303079,0.891414,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1796.4100,1,0.221249,0.018875,0.082599,0.463211,0.214067,0.305527,0.848668,высокопористый,sand_subarkose_wacke,высокопористый субаркозовый песчаник
1796.6100,1,0.248337,0.017412,0.124691,0.462474,0.147087,0.311578,0.787639,пористый,sand_subarkose_wacke,пористый субаркозовый песчаник
1796.8100,1,0.207188,0.023006,0.149804,0.469735,0.150267,0.270902,0.758200,пористый,sand_subarkose_wacke,пористый субаркозовый песчаник
1797.0100,1,0.133004,0.031155,0.168908,0.479241,0.187692,0.202089,0.739399,высокопористый,sand_arkose_wacke,высокопористый аркозовый песчаник
1797.2100,1,0.067410,0.032298,0.177374,0.498988,0.223930,0.128479,0.737752,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1797.4100,1,0.052998,0.026448,0.179522,0.498780,0.242252,0.104845,0.735336,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1797.6100,1,0.075517,0.023138,0.184843,0.471926,0.244576,0.130596,0.718557,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1797.8100,1,0.041884,0.027607,0.181708,0.483765,0.265036,0.094551,0.726949,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1798.0100,1,0.041453,0.023135,0.177127,0.499770,0.258516,0.087107,0.738325,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1798.2100,1,0.077873,0.010656,0.170576,0.497348,0.243547,0.117032,0.744618,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
1798.4100,1,0.084369,0.000869,0.169582,0.491199,0.253982,0.114256,0.743361,высокопористый,sand_arkose_arenite,высокопористый аркозовый аренит
