parameter,value,generation,best_negative_share
population_size,220.0,71,0.0400948696
population_size,220.0,72,0.0400948696
population_size,220.0,73,0.0400699039
population_size,220.0,74,0.0400449382
population_size,220.0,75,0.0399700412
population_size,220.0,76,0.0399700412
population_size,220.0,77,0.0399450755
population_size,220.0,78,0.0399450755
population_size,220.0,79,0.0399450755
population_size,220.0,80,0.0399201098
population_size,220.0,81,0.0399201098
population_size,220.0,82,0.0398951442
population_size,220.0,83,0.0398951442
population_size,220.0,84,0.0392210710
population_size,220.0,85,0.0392210710
population_size,220.0,86,0.0390962427
population_size,220.0,87,0.0390962427
population_size,220.0,88,0.0390712770
population_size,220.0,89,0.0390463113
population_size,220.0,90,0.0390463113
population_size,220.0,91,0.0390463113
population_size,220.0,92,0.0390463113
population_size,220.0,93,0.0390463113
population_size,220.0,94,0.0389963800
population_size,220.0,95,0.0389963800
population_size,220.0,96,0.0389963800
population_size,220.0,97,0.0389963800
population_size,220.0,98,0.0389963800
population_size,220.0,99,0.0384970665
population_size,220.0,100,0.0384970665
population_size,220.0,101,0.0384970665
population_size,220.0,102,0.0384471352
population_size,220.0,103,0.0384471352
population_size,220.0,104,0.0384471352
population_size,220.0,105,0.0384471352
population_size,220.0,106,0.0384471352
population_size,220.0,107,0.0384471352
population_size,220.0,108,0.0383972038
population_size,220.0,109,0.0383972038
population_size,220.0,110,0.0383972038
population_size,220.0,111,0.0383972038
population_size,220.0,112,0.0383972038
population_size,220.0,113,0.0383972038
population_size,220.0,114,0.0383972038
population_size,220.0,115,0.0383972038
population_size,220.0,116,0.0383972038
population_size,220.0,117,0.0383972038
population_size,220.0,118,0.0383722382
population_size,220.0,119,0.0383972038
population_size,220.0,120,0.0383972038
population_size,220.0,121,0.0383972038
population_size,220.0,122,0.0383972038
population_size,220.0,123,0.0383972038
population_size,220.0,124,0.0383972038
population_size,220.0,125,0.0383722382
population_size,220.0,126,0.0383722382
population_size,220.0,127,0.0383722382
population_size,220.0,128,0.0383722382
population_size,220.0,129,0.0383722382
population_size,220.0,130,0.0383722382
population_size,220.0,131,0.0383722382
population_size,220.0,132,0.0383722382
population_size,220.0,133,0.0383472725
population_size,220.0,134,0.0383472725
population_size,220.0,135,0.0383472725
population_size,220.0,136,0.0383472725
population_size,220.0,137,0.0383472725
population_size,220.0,138,0.0383472725
population_size,220.0,139,0.0383472725
population_size,220.0,140,0.0383472725
population_size,220.0,141,0.0383472725
population_size,220.0,142,0.0383472725
population_size,220.0,143,0.0383472725
population_size,220.0,144,0.0383472725
population_size,220.0,145,0.0383472725
population_size,220.0,146,0.0383472725
population_size,220.0,147,0.0383472725
population_size,220.0,148,0.0383472725
population_size,220.0,149,0.0383472725
population_size,220.0,150,0.0383472725
population_size,220.0,151,0.0383472725
population_size,220.0,152,0.0383472725
population_size,220.0,153,0.0383472725
population_size,220.0,154,0.0383472725
population_size,220.0,155,0.0383472725
population_size,220.0,156,0.0383472725
population_size,220.0,157,0.0383472725
population_size,220.0,158,0.0383472725
population_size,220.0,159,0.0383472725
population_size,220.0,160,0.0383472725
population_size,220.0,161,0.0383472725
population_size,220.0,162,0.0383472725
population_size,220.0,163,0.0382723755
population_size,220.0,164,0.0382723755
population_size,220.0,165,0.0382723755
population_size,220.0,166,0.0381974785
population_size,220.0,167,0.0381974785
population_size,220.0,168,0.0381974785
population_size,220.0,169,0.0381974785
population_size,220.0,170,0.0381974785
population_size,220.0,171,0.0381974785
population_size,220.0,172,0.0381974785
population_size,220.0,173,0.0381974785
population_size,220.0,174,0.0381974785
population_size,220.0,175,0.0381974785
population_size,220.0,176,0.0381974785
population_size,220.0,177,0.0381974785
population_size,220.0,178,0.0381974785
population_size,220.0,179,0.0381974785
population_size,220.0,180,0.0381974785
population_size,220.0,181,0.0381974785
population_size,220.0,182,0.0381974785
population_size,220.0,183,0.0381974785
population_size,220.0,184,0.0381974785
population_size,220.0,185,0.0381974785
population_size,220.0,186,0.0381974785
population_size,220.0,187,0.0381974785
population_size,220.0,188,0.0381974785
population_size,220.0,189,0.0381974785
population_size,220.0,190,0.0381974785
population_size,220.0,191,0.0381974785
population_size,220.0,192,0.0381974785
population_size,220.0,193,0.0381974785
population_size,220.0,194,0.0381974785
population_size,220.0,195,0.0381974785
population_size,220.0,196,0.0381974785
population_size,220.0,197,0.0381974785
population_size,220.0,198,0.0381225815
population_size,220.0,199,0.0381974785
population_size,220.0,200,0.0381974785
population_size,280.0,0,0.1446011734
population_size,280.0,1,0.1440768943
population_size,280.0,2,0.1369367120
population_size,280.0,3,0.1182374235
population_size,280.0,4,0.1182374235
population_size,280.0,5,0.1133191861
population_size,280.0,6,0.1102733741
population_size,280.0,7,0.1102733741
population_size,280.0,8,0.1097490950
population_size,280.0,9,0.1095993010
population_size,280.0,10,0.1028336038
population_size,280.0,11,0.1034078143
population_size,280.0,12,0.0961428036
population_size,280.0,13,0.0932467857
population_size,280.0,14,0.0929721633
population_size,280.0,15,0.0898764199
population_size,280.0,16,0.0879790288
population_size,280.0,17,0.0879790288
population_size,280.0,18,0.0789664212
population_size,280.0,19,0.0789664212
population_size,280.0,20,0.0767944077
population_size,280.0,21,0.0677069030
population_size,280.0,22,0.0680813881
population_size,280.0,23,0.0672575209
population_size,280.0,24,0.0649856447
population_size,280.0,25,0.0521782549
population_size,280.0,26,0.0521782549
population_size,280.0,27,0.0521782549
population_size,280.0,28,0.0487329921
population_size,280.0,29,0.0487829235
population_size,280.0,30,0.0487080265
population_size,280.0,31,0.0454375234
population_size,280.0,32,0.0459118712
population_size,280.0,33,0.0459118712
population_size,280.0,34,0.0449132443
population_size,280.0,35,0.0449132443
population_size,280.0,36,0.0446635876
population_size,280.0,37,0.0446635876
population_size,280.0,38,0.0441143428
population_size,280.0,39,0.0438147547
population_size,280.0,40,0.0424166771
population_size,280.0,41,0.0414929472
population_size,280.0,42,0.0413930845
population_size,280.0,43,0.0408188740
population_size,280.0,44,0.0398202472
population_size,280.0,45,0.0397203845
population_size,280.0,46,0.0394207964
population_size,280.0,47,0.0393708651
population_size,280.0,48,0.0393708651
population_size,280.0,49,0.0393708651
population_size,280.0,50,0.0393708651
population_size,280.0,51,0.0393708651
population_size,280.0,52,0.0393708651
population_size,280.0,53,0.0393458994
population_size,280.0,54,0.0393458994
population_size,280.0,55,0.0392710024
population_size,280.0,56,0.0390213456
population_size,280.0,57,0.0389963800
population_size,280.0,58,0.0389963800
population_size,280.0,59,0.0389963800
population_size,280.0,60,0.0389963800
population_size,280.0,61,0.0389963800
population_size,280.0,62,0.0389963800
population_size,280.0,63,0.0389963800
population_size,280.0,64,0.0389963800
population_size,280.0,65,0.0389963800
population_size,280.0,66,0.0389963800
population_size,280.0,67,0.0389963800
population_size,280.0,68,0.0389714143
population_size,280.0,69,0.0389714143
population_size,280.0,70,0.0389714143
population_size,280.0,71,0.0389714143
population_size,280.0,72,0.0389714143
population_size,280.0,73,0.0389714143
population_size,280.0,74,0.0387716889
population_size,280.0,75,0.0387467233
population_size,280.0,76,0.0387217576
population_size,280.0,77,0.0387217576
population_size,280.0,78,0.0387217576
population_size,280.0,79,0.0387217576
population_size,280.0,80,0.0386967919
population_size,280.0,81,0.0386967919
population_size,280.0,82,0.0386967919
population_size,280.0,83,0.0385719636
population_size,280.0,84,0.0385719636
population_size,280.0,85,0.0385719636
population_size,280.0,86,0.0385469979
population_size,280.0,87,0.0384471352
population_size,280.0,88,0.0384471352
population_size,280.0,89,0.0385469979
population_size,280.0,90,0.0385469979
population_size,280.0,91,0.0385220322
population_size,280.0,92,0.0385220322
population_size,280.0,93,0.0385220322
population_size,280.0,94,0.0384970665
population_size,280.0,95,0.0384970665
population_size,280.0,96,0.0384970665
population_size,280.0,97,0.0384970665
population_size,280.0,98,0.0384970665
population_size,280.0,99,0.0384970665
population_size,280.0,100,0.0384970665
population_size,280.0,101,0.0384970665
population_size,280.0,102,0.0384970665
population_size,280.0,103,0.0384970665
population_size,280.0,104,0.0384970665
population_size,280.0,105,0.0384970665
population_size,280.0,106,0.0384970665
population_size,280.0,107,0.0384970665
population_size,280.0,108,0.0384970665
population_size,280.0,109,0.0384970665
population_size,280.0,110,0.0384970665
population_size,280.0,111,0.0384221695
population_size,280.0,112,0.0383972038
population_size,280.0,113,0.0383972038
population_size,280.0,114,0.0383972038
population_size,280.0,115,0.0383972038
population_size,280.0,116,0.0383972038
population_size,280.0,117,0.0383972038
population_size,280.0,118,0.0383972038
population_size,280.0,119,0.0383972038
population_size,280.0,120,0.0383972038
population_size,280.0,121,0.0383972038
population_size,280.0,122,0.0383972038
population_size,280.0,123,0.0383972038
population_size,280.0,124,0.0383972038
population_size,280.0,125,0.0383972038
population_size,280.0,126,0.0383972038
population_size,280.0,127,0.0383972038
population_size,280.0,128,0.0383972038
population_size,280.0,129,0.0383972038
population_size,280.0,130,0.0383972038
population_size,280.0,131,0.0383972038
population_size,280.0,132,0.0383972038
population_size,280.0,133,0.0383972038
population_size,280.0,134,0.0383972038
population_size,280.0,135,0.0383972038
population_size,280.0,136,0.0383972038
population_size,280.0,137,0.0383972038
population_size,280.0,138,0.0383972038
population_size,280.0,139,0.0383972038
population_size,280.0,140,0.0383972038
population_size,280.0,141,0.0383972038
population_size,280.0,142,0.0383972038
population_size,280.0,143,0.0383972038
population_size,280.0,144,0.0383972038
population_size,280.0,145,0.0383972038
population_size,280.0,146,0.0383972038
population_size,280.0,147,0.0383972038
