parameter,value,generation,best_negative_share
mutpb,0.25,19,0.0486830608
mutpb,0.25,20,0.0481338160
mutpb,0.25,21,0.0472100861
mutpb,0.25,22,0.0463113219
mutpb,0.25,23,0.0459618025
mutpb,0.25,24,0.0459618025
mutpb,0.25,25,0.0459368368
mutpb,0.25,26,0.0450131070
mutpb,0.25,27,0.0456372488
mutpb,0.25,28,0.0452128324
mutpb,0.25,29,0.0452128324
mutpb,0.25,30,0.0451878667
mutpb,0.25,31,0.0452128324
mutpb,0.25,32,0.0451379353
mutpb,0.25,33,0.0444888279
mutpb,0.25,34,0.0444888279
mutpb,0.25,35,0.0444888279
mutpb,0.25,36,0.0444888279
mutpb,0.25,37,0.0444388965
mutpb,0.25,38,0.0444388965
mutpb,0.25,39,0.0431157159
mutpb,0.25,40,0.0431157159
mutpb,0.25,41,0.0430907502
mutpb,0.25,42,0.0430907502
mutpb,0.25,43,0.0430907502
mutpb,0.25,44,0.0429659219
mutpb,0.25,45,0.0429409562
mutpb,0.25,46,0.0429159905
mutpb,0.25,47,0.0429159905
mutpb,0.25,48,0.0421919860
mutpb,0.25,49,0.0421919860
mutpb,0.25,50,0.0421919860
mutpb,0.25,51,0.0417176382
mutpb,0.25,52,0.0416427412
mutpb,0.25,53,0.0416427412
mutpb,0.25,54,0.0416427412
mutpb,0.25,55,0.0416427412
mutpb,0.25,56,0.0416177756
mutpb,0.25,57,0.0416177756
mutpb,0.25,58,0.0416177756
mutpb,0.25,59,0.0416177756
mutpb,0.25,60,0.0402696293
mutpb,0.25,61,0.0402696293
mutpb,0.25,62,0.0402696293
mutpb,0.25,63,0.0402696293
mutpb,0.25,64,0.0402696293
mutpb,0.25,65,0.0402196979
mutpb,0.25,66,0.0397203845
mutpb,0.25,67,0.0397203845
mutpb,0.25,68,0.0397203845
mutpb,0.25,69,0.0397203845
mutpb,0.25,70,0.0393708651
mutpb,0.25,71,0.0393708651
mutpb,0.25,72,0.0393708651
mutpb,0.25,73,0.0393708651
mutpb,0.25,74,0.0393708651
mutpb,0.25,75,0.0393708651
mutpb,0.25,76,0.0393708651
mutpb,0.25,77,0.0393708651
mutpb,0.25,78,0.0393708651
mutpb,0.25,79,0.0391961054
mutpb,0.25,80,0.0391961054
mutpb,0.25,81,0.0391961054
mutpb,0.25,82,0.0391961054
mutpb,0.25,83,0.0391461740
mutpb,0.25,84,0.0388965173
mutpb,0.25,85,0.0388965173
mutpb,0.25,86,0.0388965173
mutpb,0.25,87,0.0388965173
mutpb,0.25,88,0.0388965173
mutpb,0.25,89,0.0388965173
mutpb,0.25,90,0.0388965173
mutpb,0.25,91,0.0388965173
mutpb,0.25,92,0.0388965173
mutpb,0.25,93,0.0388965173
mutpb,0.25,94,0.0388965173
mutpb,0.25,95,0.0387467233
mutpb,0.25,96,0.0386967919
mutpb,0.25,97,0.0386967919
mutpb,0.25,98,0.0386967919
mutpb,0.25,99,0.0385220322
mutpb,0.25,100,0.0385220322
mutpb,0.25,101,0.0385220322
mutpb,0.25,102,0.0385220322
mutpb,0.25,103,0.0385220322
mutpb,0.25,104,0.0383223068
mutpb,0.25,105,0.0383223068
mutpb,0.25,106,0.0383223068
mutpb,0.25,107,0.0383223068
mutpb,0.25,108,0.0383223068
mutpb,0.25,109,0.0383223068
mutpb,0.25,110,0.0383223068
mutpb,0.25,111,0.0383223068
mutpb,0.25,112,0.0383223068
mutpb,0.25,113,0.0383223068
mutpb,0.25,114,0.0383223068
mutpb,0.25,115,0.0383223068
mutpb,0.25,116,0.0383223068
mutpb,0.25,117,0.0383223068
mutpb,0.25,118,0.0383223068
mutpb,0.25,119,0.0383223068
mutpb,0.25,120,0.0383223068
mutpb,0.25,121,0.0383223068
mutpb,0.25,122,0.0383223068
mutpb,0.25,123,0.0383223068
mutpb,0.25,124,0.0383223068
mutpb,0.25,125,0.0383223068
mutpb,0.25,126,0.0383223068
mutpb,0.25,127,0.0383223068
mutpb,0.25,128,0.0383223068
mutpb,0.25,129,0.0383223068
mutpb,0.25,130,0.0383223068
mutpb,0.25,131,0.0383223068
mutpb,0.25,132,0.0383223068
mutpb,0.25,133,0.0383223068
mutpb,0.25,134,0.0383223068
mutpb,0.25,135,0.0383223068
mutpb,0.25,136,0.0382723755
mutpb,0.25,137,0.0382723755
mutpb,0.25,138,0.0382474098
mutpb,0.25,139,0.0382474098
mutpb,0.25,140,0.0382474098
mutpb,0.25,141,0.0382474098
mutpb,0.25,142,0.0382474098
mutpb,0.25,143,0.0382474098
mutpb,0.25,144,0.0382474098
mutpb,0.25,145,0.0382474098
mutpb,0.25,146,0.0382224441
mutpb,0.25,147,0.0382224441
mutpb,0.25,148,0.0382224441
mutpb,0.25,149,0.0382224441
mutpb,0.25,150,0.0382224441
mutpb,0.25,151,0.0382224441
mutpb,0.25,152,0.0382224441
mutpb,0.25,153,0.0382224441
mutpb,0.25,154,0.0382224441
mutpb,0.25,155,0.0382224441
mutpb,0.25,156,0.0382224441
mutpb,0.25,157,0.0382224441
mutpb,0.25,158,0.0382224441
mutpb,0.25,159,0.0382224441
mutpb,0.25,160,0.0382224441
mutpb,0.25,161,0.0382224441
mutpb,0.25,162,0.0382224441
mutpb,0.25,163,0.0382224441
mutpb,0.25,164,0.0382224441
mutpb,0.25,165,0.0382224441
mutpb,0.25,166,0.0382224441
mutpb,0.25,167,0.0382224441
mutpb,0.25,168,0.0382224441
mutpb,0.25,169,0.0382224441
mutpb,0.25,170,0.0382224441
mutpb,0.25,171,0.0382224441
mutpb,0.25,172,0.0382224441
mutpb,0.25,173,0.0382224441
mutpb,0.25,174,0.0381725128
mutpb,0.25,175,0.0381725128
mutpb,0.25,176,0.0381725128
mutpb,0.25,177,0.0381725128
mutpb,0.25,178,0.0381725128
mutpb,0.25,179,0.0381725128
mutpb,0.25,180,0.0381725128
mutpb,0.25,181,0.0381725128
mutpb,0.25,182,0.0381725128
mutpb,0.25,183,0.0381725128
mutpb,0.25,184,0.0381725128
mutpb,0.25,185,0.0381725128
mutpb,0.25,186,0.0381725128
mutpb,0.25,187,0.0381725128
mutpb,0.25,188,0.0381725128
mutpb,0.25,189,0.0381725128
mutpb,0.25,190,0.0381725128
mutpb,0.25,191,0.0381725128
mutpb,0.25,192,0.0381725128
mutpb,0.25,193,0.0381725128
mutpb,0.25,194,0.0381725128
mutpb,0.25,195,0.0381725128
mutpb,0.25,196,0.0381725128
mutpb,0.25,197,0.0381725128
mutpb,0.25,198,0.0381725128
mutpb,0.25,199,0.0381725128
mutpb,0.25,200,0.0381725128
tournsize,3.0,0,0.1511921108
tournsize,3.0,1,0.1466982899
tournsize,3.0,2,0.1392585195
tournsize,3.0,3,0.1353389090
tournsize,3.0,4,0.1240544252
tournsize,3.0,5,0.1006116590
tournsize,3.0,6,0.1149419548
tournsize,3.0,7,0.1066533516
tournsize,3.0,8,0.1056547248
tournsize,3.0,9,0.1043065785
tournsize,3.0,10,0.0870552990
tournsize,3.0,11,0.0752465360
tournsize,3.0,12,0.0669828985
tournsize,3.0,13,0.0669828985
tournsize,3.0,14,0.0669828985
tournsize,3.0,15,0.0669828985
tournsize,3.0,16,0.0600674073
tournsize,3.0,17,0.0586942953
tournsize,3.0,18,0.0578953938
tournsize,3.0,19,0.0574709774
tournsize,3.0,20,0.0570465610
tournsize,3.0,21,0.0553239296
tournsize,3.0,22,0.0554237923
tournsize,3.0,23,0.0549494445
tournsize,3.0,24,0.0537261266
tournsize,3.0,25,0.0537261266
tournsize,3.0,26,0.0534265385
tournsize,3.0,27,0.0529521907
tournsize,3.0,28,0.0525028086
tournsize,3.0,29,0.0518037698
tournsize,3.0,30,0.0515541131
tournsize,3.0,31,0.0515541131
tournsize,3.0,32,0.0510048683
tournsize,3.0,33,0.0509299713
tournsize,3.0,34,0.0501310698
tournsize,3.0,35,0.0501061041
tournsize,3.0,36,0.0498564474
tournsize,3.0,37,0.0456622145
tournsize,3.0,38,0.0452877294
tournsize,3.0,39,0.0454375234
tournsize,3.0,40,0.0453626264
tournsize,3.0,41,0.0451878667
tournsize,3.0,42,0.0451878667
tournsize,3.0,43,0.0444888279
tournsize,3.0,44,0.0443889652
tournsize,3.0,45,0.0443390338
tournsize,3.0,46,0.0443140682
tournsize,3.0,47,0.0441393085
tournsize,3.0,48,0.0439146174
tournsize,3.0,49,0.0437148920
tournsize,3.0,50,0.0437148920
tournsize,3.0,51,0.0436899264
tournsize,3.0,52,0.0436899264
tournsize,3.0,53,0.0436899264
tournsize,3.0,54,0.0435151666
tournsize,3.0,55,0.0434652353
tournsize,3.0,56,0.0434652353
tournsize,3.0,57,0.0434652353
tournsize,3.0,58,0.0433653726
tournsize,3.0,59,0.0433154413
tournsize,3.0,60,0.0433154413
tournsize,3.0,61,0.0433154413
tournsize,3.0,62,0.0421670203
tournsize,3.0,63,0.0419423293
tournsize,3.0,64,0.0419423293
tournsize,3.0,65,0.0414929472
tournsize,3.0,66,0.0414929472
tournsize,3.0,67,0.0414679815
tournsize,3.0,68,0.0414679815
tournsize,3.0,69,0.0414679815
tournsize,3.0,70,0.0414679815
tournsize,3.0,71,0.0414679815
tournsize,3.0,72,0.0414679815
tournsize,3.0,73,0.0413930845
tournsize,3.0,74,0.0413930845
tournsize,3.0,75,0.0413930845
tournsize,3.0,76,0.0413930845
tournsize,3.0,77,0.0413930845
tournsize,3.0,78,0.0413930845
tournsize,3.0,79,0.0413930845
tournsize,3.0,80,0.0412432905
tournsize,3.0,81,0.0412432905
tournsize,3.0,82,0.0412432905
tournsize,3.0,83,0.0412432905
tournsize,3.0,84,0.0412183248
tournsize,3.0,85,0.0412183248
tournsize,3.0,86,0.0412183248
tournsize,3.0,87,0.0412183248
tournsize,3.0,88,0.0412183248
tournsize,3.0,89,0.0412183248
tournsize,3.0,90,0.0412183248
tournsize,3.0,91,0.0412183248
tournsize,3.0,92,0.0412183248
tournsize,3.0,93,0.0412183248
tournsize,3.0,94,0.0412183248
tournsize,3.0,95,0.0412183248
tournsize,3.0,96,0.0412183248
tournsize,3.0,97,0.0412183248
tournsize,3.0,98,0.0412183248
tournsize,3.0,99,0.0412183248
tournsize,3.0,100,0.0412183248
tournsize,3.0,101,0.0412183248
tournsize,3.0,102,0.0412183248
tournsize,3.0,103,0.0412183248
tournsize,3.0,104,0.0412183248
tournsize,3.0,105,0.0412183248
tournsize,3.0,106,0.0409936338
tournsize,3.0,107,0.0412183248
tournsize,3.0,108,0.0412183248
tournsize,3.0,109,0.0406191487
tournsize,3.0,110,0.0406191487
tournsize,3.0,111,0.0406191487
tournsize,3.0,112,0.0406191487
tournsize,3.0,113,0.0406191487
tournsize,3.0,114,0.0406191487
tournsize,3.0,115,0.0403944576
tournsize,3.0,116,0.0403944576
tournsize,3.0,117,0.0403944576
tournsize,3.0,118,0.0395456248
tournsize,3.0,119,0.0403944576
tournsize,3.0,120,0.0403944576
tournsize,3.0,121,0.0403694919
tournsize,3.0,122,0.0403694919
tournsize,3.0,123,0.0403694919
tournsize,3.0,124,0.0403694919
tournsize,3.0,125,0.0403694919
tournsize,3.0,126,0.0403694919
tournsize,3.0,127,0.0403694919
tournsize,3.0,128,0.0403694919
tournsize,3.0,129,0.0403694919
tournsize,3.0,130,0.0403195606
tournsize,3.0,131,0.0403195606
tournsize,3.0,132,0.0403195606
tournsize,3.0,133,0.0393708651
tournsize,3.0,134,0.0393708651
tournsize,3.0,135,0.0393708651
tournsize,3.0,136,0.0393708651
tournsize,3.0,137,0.0393209337
tournsize,3.0,138,0.0393209337
tournsize,3.0,139,0.0393209337
tournsize,3.0,140,0.0393209337
tournsize,3.0,141,0.0393209337
tournsize,3.0,142,0.0393209337
tournsize,3.0,143,0.0393209337
tournsize,3.0,144,0.0393209337
tournsize,3.0,145,0.0393209337
tournsize,3.0,146,0.0393209337
tournsize,3.0,147,0.0393209337
tournsize,3.0,148,0.0393209337
tournsize,3.0,149,0.0393209337
tournsize,3.0,150,0.0393209337
tournsize,3.0,151,0.0393209337
tournsize,3.0,152,0.0393209337
tournsize,3.0,153,0.0393209337
tournsize,3.0,154,0.0393209337
tournsize,3.0,155,0.0393209337
tournsize,3.0,156,0.0393209337
tournsize,3.0,157,0.0393209337
tournsize,3.0,158,0.0393209337
