trial_id,seed,sampler,population_size,ngen,cxpb,mutpb,indpb,tournsize,patience,min_delta,n_jobs,n_intervals,final_Q,total_time_sec,total_tested_matrices,negative_share,glin_bad_share,coll_bad_share
12,2037,lhs,965,317,0.4295549560,0.7349803703,0.2890849109,13,104,1.6116840577e-07,1,7,0.0535750520,119.525258,699985,0.0645000000,0.0101351351,0.0096153846
13,2038,lhs,884,384,0.6018397436,0.9055539322,0.0535219495,5,83,9.6053961239e-08,1,7,0.0547128898,94.791028,601547,0.0655000000,0.0135135135,0.0096153846
14,2039,lhs,374,230,0.5119865043,0.4796500617,0.2494635202,16,94,4.9223971730e-08,1,7,0.0558507277,37.990664,219435,0.0665000000,0.0168918919,0.0096153846
15,2040,lhs,239,287,0.8389823617,0.8285823636,0.0753317695,7,91,1.2845712656e-07,1,7,0.0568372141,24.068948,173026,0.0690000000,0.0067567568,0.0096153846
16,2041,lhs,486,290,0.7672230343,0.3300038368,0.0903431501,15,33,6.6970906410e-08,1,7,0.0550507277,15.070992,107181,0.0655000000,0.0168918919,0.0096153846
17,2042,lhs,223,366,0.5317329919,0.6987472651,0.1542674073,13,55,5.5188294383e-07,1,7,0.0555750520,12.692610,89644,0.0670000000,0.0101351351,0.0096153846
18,2043,lhs,658,353,0.6404825424,0.6725187337,0.2237424462,5,11,2.3396897107e-07,1,7,0.0547750520,11.004593,78376,0.0660000000,0.0101351351,0.0096153846
19,2044,lhs,642,92,0.7271949850,0.1217794943,0.3842924003,17,110,4.0325715481e-08,1,7,0.0551750520,46.532687,319278,0.0665000000,0.0101351351,0.0096153846
20,2045,lhs,533,115,0.6941095392,0.5402152595,0.2069952257,11,29,3.3469013905e-07,1,7,0.0539128898,17.867864,120326,0.0645000000,0.0135135135,0.0096153846
21,2046,lhs,257,271,0.5872953730,0.8370556379,0.2702340621,10,40,6.5178294701e-07,1,7,0.0579128898,10.633038,76044,0.0695000000,0.0135135135,0.0096153846
22,2047,lhs,593,140,0.4926140713,0.4021874282,0.3658799157,11,102,1.4878857120e-08,1,7,0.0551750520,48.224697,326490,0.0665000000,0.0101351351,0.0096153846
23,2048,lhs,556,324,0.4033573485,0.3748244792,0.0247667308,3,48,4.5727356780e-07,1,7,0.0542507277,24.650656,174090,0.0645000000,0.0168918919,0.0096153846
24,2049,lhs,812,339,0.8312684677,0.1779130412,0.1266108743,9,74,5.6904053380e-08,1,7,0.0556372141,59.353940,437441,0.0675000000,0.0067567568,0.0096153846
25,2050,lhs,415,49,0.5142951680,0.7490792380,0.3421788523,7,79,3.9643416402e-07,1,7,0.0546507277,17.954277,127920,0.0650000000,0.0168918919,0.0096153846
26,2051,lhs,930,75,0.7064191945,0.6403414136,0.2828167485,14,122,2.3734753701e-08,1,7,0.0543750520,64.599796,443136,0.0655000000,0.0101351351,0.0096153846
27,2052,lhs,693,148,0.6731351788,0.6314327039,0.2213856662,8,58,4.4999847085e-08,1,7,0.0539128898,41.381960,292678,0.0645000000,0.0135135135,0.0096153846
28,2053,lhs,339,168,0.5713327242,0.4622340267,0.3761716116,17,4,2.9910835379e-08,1,7,0.0588642412,2.246729,15269,0.0690000000,0.0270270270,0.0096153846
29,2054,lhs,991,206,0.6637878845,0.1901567310,0.4155965101,3,113,1.7284871852e-08,1,7,0.0543750520,87.373572,639351,0.0655000000,0.0101351351,0.0096153846
30,2055,lhs,384,210,0.6187320982,0.9311324404,0.1918042694,2,19,1.2041008674e-08,1,7,0.0577885655,12.551118,91755,0.0685000000,0.0202702703,0.0096153846
31,2056,lhs,311,69,0.7858489142,0.9792629666,0.0420945781,6,123,3.2696618855e-08,1,7,0.0570507277,20.781997,151766,0.0680000000,0.0168918919,0.0096153846
32,2057,lhs,462,398,0.5580713037,0.2804580092,0.3989446267,8,147,2.4871006159e-07,1,7,0.0555128898,49.085894,341886,0.0665000000,0.0135135135,0.0096153846
