parameter,value,generation,best_negative_share
mutpb,0.22,40,0.0940000000
mutpb,0.3,0,0.1885000000
mutpb,0.3,1,0.1840000000
mutpb,0.3,2,0.1715000000
mutpb,0.3,3,0.1430000000
mutpb,0.3,4,0.1330000000
mutpb,0.3,5,0.1330000000
mutpb,0.3,6,0.1275000000
mutpb,0.3,7,0.1245000000
mutpb,0.3,8,0.1205000000
mutpb,0.3,9,0.1205000000
mutpb,0.3,10,0.1175000000
mutpb,0.3,11,0.1175000000
mutpb,0.3,12,0.1175000000
mutpb,0.3,13,0.1140000000
mutpb,0.3,14,0.1140000000
mutpb,0.3,15,0.1140000000
mutpb,0.3,16,0.1115000000
mutpb,0.3,17,0.1070000000
mutpb,0.3,18,0.1060000000
mutpb,0.3,19,0.1060000000
mutpb,0.3,20,0.1060000000
mutpb,0.3,21,0.1050000000
mutpb,0.3,22,0.1045000000
mutpb,0.3,23,0.1020000000
mutpb,0.3,24,0.1020000000
mutpb,0.3,25,0.1020000000
mutpb,0.3,26,0.0985000000
mutpb,0.3,27,0.0985000000
mutpb,0.3,28,0.0985000000
mutpb,0.3,29,0.0980000000
mutpb,0.3,30,0.0980000000
mutpb,0.3,31,0.0975000000
mutpb,0.3,32,0.0975000000
mutpb,0.3,33,0.0975000000
mutpb,0.3,34,0.0970000000
mutpb,0.3,35,0.0970000000
mutpb,0.3,36,0.0970000000
mutpb,0.3,37,0.0970000000
mutpb,0.3,38,0.0965000000
mutpb,0.3,39,0.0965000000
mutpb,0.3,40,0.0965000000
tournsize,2.0,0,0.1755000000
tournsize,2.0,1,0.1740000000
tournsize,2.0,2,0.1715000000
tournsize,2.0,3,0.1580000000
tournsize,2.0,4,0.1475000000
tournsize,2.0,5,0.1440000000
tournsize,2.0,6,0.1230000000
tournsize,2.0,7,0.1225000000
tournsize,2.0,8,0.1205000000
tournsize,2.0,9,0.1205000000
tournsize,2.0,10,0.1205000000
tournsize,2.0,11,0.1205000000
tournsize,2.0,12,0.1095000000
tournsize,2.0,13,0.1085000000
tournsize,2.0,14,0.1085000000
tournsize,2.0,15,0.1080000000
tournsize,2.0,16,0.1060000000
tournsize,2.0,17,0.1055000000
tournsize,2.0,18,0.1055000000
tournsize,2.0,19,0.1055000000
tournsize,2.0,20,0.1055000000
tournsize,2.0,21,0.1050000000
tournsize,2.0,22,0.1040000000
tournsize,2.0,23,0.1030000000
tournsize,2.0,24,0.1025000000
tournsize,2.0,25,0.1025000000
tournsize,2.0,26,0.1020000000
tournsize,2.0,27,0.1020000000
tournsize,2.0,28,0.1020000000
tournsize,2.0,29,0.0995000000
tournsize,2.0,30,0.0995000000
tournsize,2.0,31,0.0955000000
tournsize,2.0,32,0.0955000000
tournsize,2.0,33,0.0955000000
tournsize,2.0,34,0.0940000000
tournsize,2.0,35,0.0940000000
tournsize,2.0,36,0.0940000000
tournsize,2.0,37,0.0940000000
tournsize,2.0,38,0.0940000000
tournsize,2.0,39,0.0940000000
tournsize,2.0,40,0.0940000000
tournsize,3.0,0,0.1805000000
tournsize,3.0,1,0.1345000000
tournsize,3.0,2,0.1340000000
tournsize,3.0,3,0.1320000000
tournsize,3.0,4,0.1320000000
tournsize,3.0,5,0.1315000000
tournsize,3.0,6,0.1290000000
tournsize,3.0,7,0.1285000000
tournsize,3.0,8,0.1280000000
tournsize,3.0,9,0.1215000000
tournsize,3.0,10,0.1215000000
tournsize,3.0,11,0.1190000000
tournsize,3.0,12,0.1170000000
tournsize,3.0,13,0.1100000000
tournsize,3.0,14,0.1110000000
tournsize,3.0,15,0.1100000000
tournsize,3.0,16,0.1100000000
tournsize,3.0,17,0.1085000000
tournsize,3.0,18,0.1055000000
tournsize,3.0,19,0.1045000000
tournsize,3.0,20,0.1025000000
tournsize,3.0,21,0.1020000000
tournsize,3.0,22,0.1025000000
tournsize,3.0,23,0.1020000000
tournsize,3.0,24,0.1020000000
tournsize,3.0,25,0.1015000000
tournsize,3.0,26,0.0960000000
tournsize,3.0,27,0.0955000000
tournsize,3.0,28,0.0955000000
tournsize,3.0,29,0.0945000000
tournsize,3.0,30,0.0945000000
tournsize,3.0,31,0.0935000000
tournsize,3.0,32,0.0935000000
tournsize,3.0,33,0.0935000000
tournsize,3.0,34,0.0930000000
tournsize,3.0,35,0.0930000000
tournsize,3.0,36,0.0930000000
tournsize,3.0,37,0.0930000000
tournsize,3.0,38,0.0930000000
tournsize,3.0,39,0.0930000000
tournsize,3.0,40,0.0930000000
tournsize,4.0,0,0.1445000000
tournsize,4.0,1,0.1445000000
tournsize,4.0,2,0.1265000000
tournsize,4.0,3,0.1250000000
tournsize,4.0,4,0.1135000000
tournsize,4.0,5,0.1090000000
tournsize,4.0,6,0.1090000000
tournsize,4.0,7,0.1085000000
tournsize,4.0,8,0.1075000000
tournsize,4.0,9,0.1060000000
tournsize,4.0,10,0.1045000000
tournsize,4.0,11,0.1045000000
tournsize,4.0,12,0.1030000000
tournsize,4.0,13,0.1025000000
tournsize,4.0,14,0.1025000000
tournsize,4.0,15,0.1020000000
tournsize,4.0,16,0.1020000000
tournsize,4.0,17,0.1020000000
tournsize,4.0,18,0.1005000000
tournsize,4.0,19,0.1000000000
tournsize,4.0,20,0.1000000000
tournsize,4.0,21,0.1000000000
tournsize,4.0,22,0.1000000000
tournsize,4.0,23,0.1000000000
tournsize,4.0,24,0.1000000000
tournsize,4.0,25,0.1000000000
tournsize,4.0,26,0.1000000000
tournsize,4.0,27,0.1000000000
tournsize,4.0,28,0.0995000000
tournsize,4.0,29,0.0995000000
tournsize,4.0,30,0.0995000000
tournsize,4.0,31,0.0995000000
tournsize,4.0,32,0.0995000000
tournsize,4.0,33,0.0995000000
tournsize,4.0,34,0.0985000000
tournsize,4.0,35,0.0985000000
tournsize,4.0,36,0.0985000000
tournsize,4.0,37,0.0985000000
tournsize,4.0,38,0.0985000000
tournsize,4.0,39,0.0985000000
tournsize,4.0,40,0.0970000000
